"Player_name","Year","Level","T","PA","AB","AVG","HR","SLG","OBP","Kpct","BBpct","BABIP","wOBA","BABIP_denom","wOBA_denom"
"東出　輝裕",2012,"Top","C",282,247,0.247,0,0.279,0.293,7.8,4.61,0.271,0.257,225,263
"廣瀬　純",2012,"Top","C",337,294,0.241,6,0.347,0.321,16.3,7.12,0.278,0.298,234,328
"福井　優也",2012,"Top","C",16,15,0.067,0,0.067,0.067,56.2,0,0.167,0.058,6,15
"前田　健太",2012,"Top","C",67,56,0.107,0,0.179,0.136,31.3,2.99,0.167,0.143,36,59
"前田　智徳",2012,"Top","C",56,49,0.327,0,0.408,0.375,8.9,8.93,0.348,0.323,46,53
"松山　竜平",2012,"Top","C",146,137,0.204,0,0.234,0.253,8.9,5.48,0.226,0.222,124,146
"丸　佳浩",2012,"Top","C",339,283,0.247,4,0.353,0.353,17.4,13.57,0.296,0.32,223,334
"ミコライオ",2012,"Top","C",0,0,0,0,0,0,0,0,0,0,0,0
"迎　祐一郎",2012,"Top","C",145,128,0.227,2,0.305,0.291,9.7,6.9,0.239,0.268,113,141
"横山　竜士",2012,"Top","C",0,0,0,0,0,0,0,0,0,0,0,0
"浅尾　拓也",2012,"Top","D",0,0,0,0,0,0,0,0,0,0,0,0
"朝倉　健太",2012,"Top","D",0,0,0,0,0,0,0,0,0,0,0,0
"荒木　雅博",2012,"Top","D",569,510,0.251,3,0.314,0.28,11.4,3.34,0.282,0.262,444,533
"伊藤　準規",2012,"Top","D",4,3,0.333,0,0.333,0.333,50,0,1,0.288,1,3
"井端　弘和",2012,"Top","D",553,489,0.284,2,0.331,0.356,10.5,9.4,0.319,0.308,430,543
"岩崎　達郎",2012,"Top","D",24,20,0.1,0,0.1,0.182,12.5,8.33,0.118,0.142,17,22
"岩瀬　仁紀",2012,"Top","D",0,0,0,0,0,0,0,0,0,0,0,0
"岩田　慎司",2012,"Top","D",33,29,0.069,0,0.138,0.156,39.4,9.09,0.125,0.146,16,32
"大島　洋平",2012,"Top","D",631,555,0.31,1,0.368,0.376,12.7,7.29,0.361,0.333,474,614
"大野　雄大",2012,"Top","D",14,14,0.143,0,0.143,0.143,50,0,0.286,0.124,7,14
"小笠原　孝",2012,"Top","D",5,5,0.2,0,0.2,0.2,60,0,0.5,0.173,2,5
"小川　龍也",2012,"Top","D",1,1,0,0,0,0,0,0,0,0,1,1
"小熊　凌祐",2012,"Top","D",0,0,0,0,0,0,0,0,0,0,0,0
"小田　幸平",2012,"Top","D",54,48,0.271,0,0.313,0.3,22.2,3.7,0.361,0.263,36,49
"川上　憲伸",2012,"Top","D",9,9,0.111,0,0.111,0.111,44.4,0,0.2,0.096,5,9
"小林正",2012,"Top","D",0,0,0,0,0,0,0,0,0,0,0,0
"鈴木　義広",2012,"Top","D",0,0,0,0,0,0,0,0,0,0,0,0
"ソーサ",2012,"Top","D",6,6,0,0,0,0,83.3,0,0,0,1,6
"ソト",2012,"Top","D",17,16,0,0,0,0,52.9,0,0,0,7,16
"高橋　聡文",2012,"Top","D",0,0,0,0,0,0,0,0,0,0,0,0
"高橋　周平",2012,"Top","D",73,71,0.155,2,0.254,0.178,24.7,2.74,0.176,0.189,51,73
"田島　慎二",2012,"Top","D",6,4,0,0,0,0,50,0,0,0,1,4
"田中　大輔",2012,"Top","D",19,19,0.105,0,0.158,0.105,21.1,0,0.133,0.116,15,19
"谷　哲也",2012,"Top","D",5,5,0.2,0,0.2,0.2,0,0,0.2,0.173,5,5
"谷繁　元信",2012,"Top","D",458,386,0.228,5,0.303,0.324,14.6,11.35,0.263,0.285,316,441
"ディアス",2012,"Top","D",26,23,0.174,0,0.174,0.269,46.2,11.54,0.364,0.213,11,26
"堂上　剛裕",2012,"Top","D",166,156,0.282,4,0.41,0.315,21.7,4.82,0.342,0.311,117,163
"堂上　直倫",2012,"Top","D",182,167,0.21,0,0.257,0.236,18.7,2.75,0.261,0.217,134,173
"中田　賢一",2012,"Top","D",42,36,0.222,0,0.278,0.243,23.8,2.38,0.308,0.231,26,37
"中田　亮二",2012,"Top","D",4,4,0.25,0,0.25,0.25,0,0,0.25,0.216,4,4
"西川　健太郎",2012,"Top","D",2,1,0,0,0,0,0,0,0,0,1,1
"ネルソン",2012,"Top","D",1,1,0,0,0,0,0,0,0,0,1,1
"野本　圭",2012,"Top","D",73,68,0.265,0,0.309,0.315,16.4,5.48,0.321,0.28,56,73
"久本　祐一",2012,"Top","D",0,0,0,0,0,0,0,0,0,0,0,0
"英智",2012,"Top","D",24,19,0.211,0,0.211,0.286,16.7,4.17,0.267,0.232,15,21
"平井　正史",2012,"Top","D",0,0,0,0,0,0,0,0,0,0,0,0
"平田　良介",2012,"Top","D",301,269,0.216,11,0.361,0.29,19.6,9.3,0.234,0.286,201,299
"ブランコ",2012,"Top","D",359,311,0.248,24,0.511,0.34,23.4,11.14,0.257,0.364,206,357
"福田　永将",2012,"Top","D",53,51,0.176,1,0.255,0.208,37.7,1.89,0.267,0.205,30,53
"藤井　淳志",2012,"Top","D",62,56,0.196,0,0.232,0.246,21,6.45,0.25,0.217,44,61
"前田　章宏",2012,"Top","D",6,6,0,0,0,0,0,0,0,0,6,6
"松井　雅人",2012,"Top","D",3,2,0,0,0,0.333,66.7,0,0,0.243,0,3
"松井　佑介",2012,"Top","D",67,65,0.231,1,0.338,0.231,19.4,0,0.275,0.247,51,65
"三瀬　幸司",2012,"Top","D",0,0,0,0,0,0,0,0,0,0,0,0
"武藤　祐太",2012,"Top","D",3,2,0,0,0,0.333,66.7,33.33,0,0.231,0,3
"森野　将彦",2012,"Top","D",494,434,0.249,6,0.348,0.327,13.8,9.92,0.28,0.302,364,489
"矢地　健人",2012,"Top","D",1,1,0,0,0,0,100,0,0,0,0,1
"柳田　殖生",2012,"Top","D",26,24,0.208,0,0.208,0.269,23.1,0,0.278,0.222,18,26
"山井　大介",2012,"Top","D",14,13,0.154,0,0.154,0.154,28.6,0,0.222,0.133,9,13
"山内　壮馬",2012,"Top","D",44,39,0.077,0,0.077,0.1,25,0,0.107,0.083,28,40
"山崎　武司",2012,"Top","D",215,191,0.209,1,0.293,0.288,20.5,8.37,0.264,0.264,148,214
"山本昌",2012,"Top","D",20,19,0,0,0,0.05,80,5,0,0.035,3,20
"雄太",2012,"Top","D",14,13,0.154,0,0.154,0.154,42.9,0,0.286,0.133,7,13
"吉川　大幾",2012,"Top","D",2,2,0.5,0,0.5,0.5,50,0,1,0.432,1,2
"吉見　一起",2012,"Top","D",49,43,0.07,0,0.07,0.149,42.9,6.12,0.136,0.115,22,47
"和田　一浩",2012,"Top","D",586,508,0.285,9,0.409,0.37,12.3,12.12,0.314,0.346,433,585
"阿斗里",2012,"Top","DB",0,0,0,0,0,0,0,0,0,0,0,0
"荒波　翔",2012,"Top","DB",550,504,0.268,1,0.333,0.305,16.4,4.18,0.323,0.281,415,532
"石川　雄洋",2012,"Top","DB",304,263,0.285,1,0.342,0.351,16.1,7.89,0.346,0.309,214,290
"一輝",2012,"Top","DB",62,57,0.175,0,0.193,0.242,33.9,6.45,0.278,0.204,36,62
"井手　正太郎",2012,"Top","DB",30,28,0.214,2,0.5,0.267,6.7,6.67,0.167,0.33,24,30
"伊藤　拓郎",2012,"Top","DB",0,0,0,0,0,0,0,0,0,0,0,0
"牛田　成樹",2012,"Top","DB",0,0,0,0,0,0,0,0,0,0,0,0
"内村　賢介",2012,"Top","DB",289,236,0.237,0,0.263,0.325,13.8,10.73,0.284,0.271,197,268
"江尻　慎太郎",2012,"Top","DB",0,0,0,0,0,0,0,0,0,0,0,0
"大原　淳也",2012,"Top","DB",0,0,0,0,0,0,0,0,0,0,0,0
"大原　慎司",2012,"Top","DB",0,0,0,0,0,0,0,0,0,0,0,0
"加賀　繁",2012,"Top","DB",0,0,0,0,0,0,0,0,0,0,0,0
"加賀美　希昇",2012,"Top","DB",20,18,0.056,0,0.056,0.105,20,5,0.071,0.082,14,19
"梶谷　隆幸",2012,"Top","DB",252,223,0.179,2,0.256,0.253,24.2,8.33,0.238,0.233,160,245
"菊地　和正",2012,"Top","DB",0,0,0,0,0,0,0,0,0,0,0,0
"北　篤",2012,"Top","DB",1,1,0,0,0,0,100,0,0,0,0,1
"金城　龍彦",2012,"Top","DB",331,294,0.238,3,0.306,0.311,11.2,7.85,0.262,0.28,256,328
"クレイマー",2012,"Top","DB",3,3,0,0,0,0,66.7,0,0,0,1,3
"国吉　佑樹",2012,"Top","DB",37,33,0.061,0,0.061,0.061,51.4,0,0.143,0.052,14,33
"黒羽根　利規",2012,"Top","DB",119,112,0.125,0,0.161,0.154,21.8,3.36,0.161,0.138,87,116
"桑原　将志",2012,"Top","DB",3,3,0.333,0,0.333,0.333,33.3,0,0.5,0.288,2,3
"啓二朗",2012,"Top","DB",10,8,0.125,0,0.125,0.125,10,0,0.143,0.108,7,8
"小池　正晃",2012,"Top","DB",155,130,0.192,3,0.292,0.289,20,6.45,0.227,0.268,97,149
"小杉　陽太",2012,"Top","DB",2,2,0,0,0,0,100,0,0,0,0,2
"後藤　武敏",2012,"Top","DB",138,125,0.256,6,0.424,0.319,18.8,8.7,0.277,0.323,94,138
"小林　太志",2012,"Top","DB",12,11,0.182,0,0.182,0.182,41.7,0,0.333,0.157,6,11
"サラサー",2012,"Top","DB",30,27,0.222,0,0.259,0.3,16.7,10,0.273,0.258,22,30
"佐藤　祥万",2012,"Top","DB",1,0,0,0,0,0,0,0,0,0,0,0
"ジオ",2012,"Top","DB",11,11,0.273,0,0.273,0.273,36.4,0,0.429,0.236,7,11
"篠原　貴行",2012,"Top","DB",0,0,0,0,0,0,0,0,0,0,0,0
"下園　辰哉",2012,"Top","DB",150,139,0.252,0,0.324,0.302,14,6.67,0.297,0.278,118,148
"須田　幸太",2012,"Top","DB",2,2,0,0,0,0,50,0,0,0,1,2
"高崎　健太郎",2012,"Top","DB",46,40,0.1,0,0.1,0.1,19.6,0,0.129,0.086,31,40
"高城　俊人",2012,"Top","DB",122,106,0.17,0,0.198,0.254,27,4.1,0.247,0.212,73,117
"田中　健二朗",2012,"Top","DB",4,3,0,0,0,0,50,0,0,0,1,3
"筒香　嘉智",2012,"Top","DB",446,386,0.218,10,0.352,0.309,22.9,11.43,0.265,0.295,279,443
"鶴岡　一成",2012,"Top","DB",229,201,0.189,1,0.254,0.258,17,8.3,0.228,0.228,162,218
"内藤　雄太",2012,"Top","DB",7,6,0.167,0,0.5,0.286,14.3,14.29,0.2,0.345,5,7
"中村　紀洋",2012,"Top","DB",500,442,0.274,11,0.407,0.346,14.4,10,0.301,0.331,365,499
"新沼　慎二",2012,"Top","DB",2,2,0,0,0,0,50,0,0,0,1,2
"ハミルトン",2012,"Top","DB",0,0,0,0,0,0,0,0,0,0,0,0
"林　昌範",2012,"Top","DB",1,1,0,0,0,0,100,0,0,0,0,1
"ブランドン",2012,"Top","DB",18,16,0.063,0,0.063,0.118,33.3,5.56,0.1,0.092,10,17
"福田　岳洋",2012,"Top","DB",0,0,0,0,0,0,0,0,0,0,0,0
"福山　博之",2012,"Top","DB",0,0,0,0,0,0,0,0,0,0,0,0
"藤井　秀悟",2012,"Top","DB",22,18,0.222,0,0.222,0.3,18.2,9.09,0.286,0.242,14,20
"藤江　均",2012,"Top","DB",2,2,0,0,0,0,50,0,0,0,1,2
"藤田　一也",2012,"Top","DB",126,111,0.243,0,0.288,0.298,7.1,6.35,0.262,0.264,103,121
"三浦　大輔",2012,"Top","DB",58,54,0.148,0,0.148,0.164,27.6,1.72,0.211,0.138,38,55
"森本　稀哲",2012,"Top","DB",230,201,0.244,3,0.323,0.32,19.1,8.7,0.297,0.29,155,225
"山口　俊",2012,"Top","DB",1,1,0,0,0,0,100,0,0,0,0,1
"山崎　憲晴",2012,"Top","DB",30,28,0.179,0,0.25,0.207,23.3,3.33,0.238,0.203,21,29
"山本　省吾",2012,"Top","DB",11,7,0,0,0,0,18.2,0,0,0,5,7
"吉村　裕基",2012,"Top","DB",72,67,0.209,2,0.343,0.264,30.6,6.94,0.279,0.269,43,72
"ラミレス",2012,"Top","DB",504,476,0.3,19,0.473,0.333,11.9,3.57,0.31,0.348,400,503
"ルイーズ",2012,"Top","DB",65,62,0.21,2,0.339,0.246,30.8,4.62,0.275,0.256,40,65
"渡辺　直人",2012,"Top","DB",213,174,0.224,0,0.247,0.351,12.7,11.27,0.265,0.286,147,208
"王　溢正",2012,"Top","DB",6,6,0,0,0,0,50,0,0,0,3,6
"青山　浩二",2012,"Top","E",0,0,0,0,0,0,0,0,0,0,0,0
"阿部　俊人",2012,"Top","E",51,47,0.298,0,0.298,0.313,17.6,0,0.368,0.268,38,48
"有銘　兼久",2012,"Top","E",0,0,0,0,0,0,0,0,0,0,0,0
"伊志嶺　忠",2012,"Top","E",28,24,0.167,0,0.208,0.259,17.9,10.71,0.211,0.222,19,27
"稲田　直人",2012,"Top","E",4,4,0.25,0,0.25,0.25,0,0,0.25,0.216,4,4
"井上　雄介",2012,"Top","E",0,0,0,0,0,0,0,0,0,0,0,0
"岩村　明憲",2012,"Top","E",79,67,0.209,1,0.343,0.316,12.7,13.92,0.228,0.3,57,79
"上園　啓史",2012,"Top","E",0,0,0,0,0,0,0,0,0,0,0,0
"内村　賢介",2012,"Top","E",131,113,0.168,0,0.195,0.217,17.6,4.58,0.211,0.189,90,120
"榎本　葵",2012,"Top","E",22,19,0.158,0,0.263,0.273,4.5,13.64,0.167,0.251,18,22
"岡島　豪郎",2012,"Top","E",125,120,0.258,2,0.333,0.288,12,3.2,0.282,0.273,103,125
"小山　桂司",2012,"Top","E",65,58,0.224,0,0.241,0.254,23.1,4.62,0.289,0.219,45,63
"ガルシア",2012,"Top","E",296,269,0.227,7,0.349,0.291,22,7.77,0.271,0.284,199,296
"片山　博視",2012,"Top","E",0,0,0,0,0,0,0,0,0,0,0,0
"加藤　大輔",2012,"Top","E",0,0,0,0,0,0,0,0,0,0,0,0
"釜田　佳直",2012,"Top","E",7,7,0.143,0,0.286,0.143,57.1,0,0.333,0.191,3,7
"辛島　航",2012,"Top","E",3,3,0,0,0,0,100,0,0,0,0,3
"川井　貴志",2012,"Top","E",0,0,0,0,0,0,0,0,0,0,0,0
"河田　寿司",2012,"Top","E",47,41,0.293,0,0.293,0.362,12.8,10.64,0.333,0.294,36,47
"菊池　保則",2012,"Top","E",0,0,0,0,0,0,0,0,0,0,0,0
"銀次",2012,"Top","E",485,432,0.28,4,0.354,0.318,7.6,4.54,0.296,0.296,395,462
"草野　大輔",2012,"Top","E",65,58,0.241,1,0.328,0.313,15.4,4.62,0.277,0.283,47,63
"小斉　祐輔",2012,"Top","E",20,17,0.176,1,0.412,0.158,15,0,0.133,0.224,15,19
"小山　伸一郎",2012,"Top","E",0,0,0,0,0,0,0,0,0,0,0,0
"定岡　卓摩",2012,"Top","E",37,32,0.156,0,0.25,0.229,43.2,8.11,0.312,0.223,16,35
"佐竹　健太",2012,"Top","E",0,0,0,0,0,0,0,0,0,0,0,0
"塩見　貴洋",2012,"Top","E",6,6,0.333,0,0.5,0.333,0,0,0.333,0.366,6,6
"嶋　基宏",2012,"Top","E",316,265,0.291,1,0.332,0.376,16.1,10.44,0.355,0.321,214,303
"島内　宏明",2012,"Top","E",104,97,0.299,2,0.443,0.31,7.7,1.92,0.307,0.325,88,100
"下柳　剛",2012,"Top","E",0,0,0,0,0,0,0,0,0,0,0,0
"ダックワース",2012,"Top","E",0,0,0,0,0,0,0,0,0,0,0,0
"高須　洋介",2012,"Top","E",212,176,0.244,0,0.284,0.338,7.1,11.32,0.264,0.287,163,204
"高堀　和也",2012,"Top","E",0,0,0,0,0,0,0,0,0,0,0,0
"田中　将大",2012,"Top","E",2,2,0,0,0,0,100,0,0,0,0,2
"土屋　朋弘",2012,"Top","E",0,0,0,0,0,0,0,0,0,0,0,0
"テレーロ",2012,"Top","E",121,111,0.153,1,0.198,0.215,24.8,5.79,0.198,0.191,81,121
"鉄平",2012,"Top","E",355,315,0.251,1,0.302,0.285,12.7,3.1,0.285,0.259,274,337
"戸村　健次",2012,"Top","E",0,0,0,0,0,0,0,0,0,0,0,0
"永井　怜",2012,"Top","E",0,0,0,0,0,0,0,0,0,0,0,0
"中島　俊哉",2012,"Top","E",108,96,0.25,0,0.271,0.301,13.9,6.48,0.296,0.258,81,103
"中村　真人",2012,"Top","E",59,53,0.226,1,0.321,0.255,13.6,3.39,0.25,0.253,44,55
"西田　哲朗",2012,"Top","E",27,22,0.136,0,0.136,0.208,14.8,3.7,0.167,0.167,18,24
